	Apparence	Donjon	Boss	Position	Niveau recommandé
0	3555578_orig.png	Aquadôme de Merkator	Merkator	[21,18]	199
1	4133933_orig.png	Antichambre des Gloursons	Glourséleste	[-63,-75]	170
2	79914_orig.png	Antre de la Reine Nyée	Reine Nyée	[-6,-15]	90
3	9752101_orig.png	Antre du Blop Multicolore Royal	Blop Multicolore	[-25,-17]	120
4	5473496_orig.png	Antre du Dragon Cochon	Dragon Cochon	[-1,33]	100
5	2836049_orig.png	Antre du Korriandre	Korriandre	[-73,-69]	170
6	5027931_orig.png	Antre du Kralamoure Géant	Kralamoure Géant	[-60,-8]	180
7	4858746_orig.png	Arche d'Otomaï	Gourlo le Terrible	[-55,-4]	90
8	5172217_orig.png	Bibliothèque du Maître Corbac	Maître Corbac	[-15,-62]	100
9	8189018_orig.png	Cour du Bouftou Royal	Bouftou Royal	[2,-34]	30
10	7406376_orig.png	Grotte du Bworker	Bworker	[-15,14]	180
11	5812349_orig.png	Bworks	Bworkette	[-5,10]	50
12	5264271_orig.png	Cache de Kankreblath	Kankreblath	[3,-17]	40
13	1256931_orig.png	Tanière du Meulou	Meulou	[-23,0]	100
14	454462_orig.png	Canopée du Kimbo	Kimbo	[-54,16]	160
15	5484636_orig.png	Cave du Toxoliath	Toxoliath	[8,8]	190
16	1563930_orig.png	Caverne de Nowel	Papa Nowel	[-36,-89]	120
17	4074020_orig.png	Caverne des Bulbes	Bulbig Brozeur	[19,22]	40
18	7055877_orig.png	Caverne du Koulosse	Koulosse	[-17,8]	100
19	4703444_orig.png	Cavernes du Kolosso	Kolosso	[-61,-69]	170
20	4622153_orig.png	Grange du Tournesol Affamé	Tournesol Affamé	[7,-24]	20
21	2116192_orig.png	Château du Wa Wabbit	Wa Wabbit	[24,-13]	60
22	chouque.png	Bateau du Chouque	Chouque	[33,3]	90
23	6076197_orig.png	Clairière du Chêne Mou	Chêne Mou	[-14,-13]	160
24	2735069_orig.png	Clos des Blops	Blop Coco RoyalBlop Griotte RoyalBlop Indigo RoyalBlop Reinette Royal	[-25,-17]	60
25	7992055_orig.png	Comte Harebourg	Comte Harebourg	[-61,-79]	199
26	4518598_orig.png	Crypte de Kardorim	Kardorim	[5,-1]	10
27	5871577_orig.png	Domaine Ancestral	Abraknyde Ancestral	[-9,-14]	90
28	7162433_orig.png	Château Ensablé	Mob l'Éponge	[13,-28]	20
29	2233509_orig.png	Epave du Grolandais violent	Ben le Ripate	[-60,-84]	160
30	3244917_orig.png	Excavation du Mansot Royal	Mansot Royal	[-64,-55]	150
31	4850660_orig.png	Fabrique Mallefisk	Mallefisk	[-6,-2]	150
32	8257443_orig.png	Firefoux	Péki Péki	[26,-45]	180
33	2159747_orig.png	Forgefroide de Missiz Frizz	Missiz Frizz	[-70,-81]	199
34	9649353_orig.png	Forgerons	Coffre des Forgerons	[13,21]	40
35	6949220_orig.png	Temple du Grand Ougah	Ougah	[-18,28]	190
36	4302372_orig.png	Galerie du Phossile	Phossile	[-2,-3]	180
37	32654_orig.png	La Gelaxième dimension	Gelée Royale BleueGelée Royale MentheGelée Royale FraiseGelée Royale Citron	Multygely	80
38	794950_orig.png	Grotte de Kanigroula	Kanigroula	[-5,-54]	190
39	5306498_orig.png	Goulet du Rasboul	Rasboul Majeur	[-51,9]	110
40	9014342_orig.png	Grotte Hesque	Corailleur Magistral	[-59,15]	60
41	6224619_orig.png	Grozilla et Grasmera	Grozilla et Grasmera	[-51,40]	151101151
42	6931563_orig.png	Hell Mina	Hell Mina	[-7,16]	110
43	8555607_orig.png	Horologium de XLII	XLII	[7,3]	190
44	3407273_orig.png	Hypogée de l'Obsidiantre	Obsidiantre	[-71,-83]	170
45	2613284_orig.png	Village Kanniboul	Kanniboul Ebil	[29,9]	60
46	2235241_orig.png	Kitsounes	Tanukouï San	[32,-38]	150
47	651834_orig.png	Laboratoire de Brumen Tinctorias	Nelween	[-27,17]	80
48	9211513_orig.png	Laboratoire de Nileza	Nileza	[-61,-74]	199
49	442899_orig.png	Laboratoire du Tynril	Tynril	[-53,20]	130
50	3479982_orig.png	Larves	Shin Larve	[-2,-5]	60
51	712395_orig.png	Maison du Papa Nowel	Père Fwetar	[-34,-89]	180
52	8566208_orig.png	Maison Fantôme	Boostache	[-13,-41]	40
53	7540120_orig.png	Mégalithe de Fraktale	Fraktale	[7,3]	170
54	4280025_orig.png	Mine de Sakaï	Grolloum	[-52,-45]	190
55	6132930_orig.png	Minotoror	Minotoror	[-42,-17]	120
56	6775497_orig.png	Minotot	Minotot	[-37,-11]	180
57	1998527_orig.png	Arbre de Moon	Moon	[29,6]	100
58	7247980_orig.png	Nid du Kwakwa	Kwakwa	[-4,-7]	50
59	7241037_orig.png	Nowel	Sapik	[-32,-89]	60
60	3653371_orig.png	Œil de Vortex	Vortex	[7,-7]	199
61	8760239_orig.png	Palais du roi Nidas	Roi Nidas	[-5,-5]	199
62	321777_orig.png	Potager d'Halouine	Halouine	[-1,22]	100
63	655978_orig.png	Pyramide d'Ombre	Ombre	[6,13]	190
64	5257367_orig.png	Rats de Bonta	Rat Blanc	[-34,-59]	110
65	9168107_orig.png	Rats de Brakmar	Rat Noir	[-23,31]	110
66	241965_orig.png	Rats du Château d'Amakna	Sphincter Cell	[5,-8]	160
67	8284779_orig.png	Repaire de Daïgoro	Daïgoro	[32,-31]	80
68	7335431_orig.png	Repaire de Skeunk	Skeunk	[-20,10]	120
69	1903936_orig.png	Repaire des Pandikazes	Maître Pandore	[18,-36]	120
70	6137738_orig.png	Ring du Capitaine Ekarlatte	Capitaine Ekarlatte	[6,3]	160
71	7814041_orig.png	Salons privés de Klime	Klime	[-63,-86]	199
72	9596842_orig.png	Sanctuaire des Dragoeufs	Crocabulia	[-3,24]	120
73		Sanctuaire des Familiers	Sanctuaire des Familiers	[-7,-1]	1
74	7298897_orig.png	Scarafeuilles	Scarabosse Doré	[1,26]	50
75	5188892_orig.png	Serre du Royalmouth	Royalmouth	[-84,-49]	120
76	6544641_orig.png	Squelettes	Chafer Rönin	[10,15]	40
77	8705626_orig.png	Tanière Givrefoux	Tengu Givrefoux	[-80,-75]	170
78	7427105_orig.png	Terrier du Wa Wabbit	Wa Wobot	[28,-12]	80
79	2620448_orig.png	Théâtre de Dramak	Maître des Pantins	[21,7]	100
80	4170578_orig.png	Tofulailler Royal	Tofu Royal	[5,6]	120
81	3059564_orig.png	Tofus	Batofu	[5,6]	40
82	7038821_orig.png	Transporteur de Sylargh	Sylargh	[-53,-84]	199
83	9957499_orig.png	Trône de la Cour Sombre	Reine des Voleurs	[8,-4]	199
84	4517716_orig.png	Ventre de la baleine	Protozorreur	[-85,-59]	199
85	8496111_orig.png	Volière de la Haute Truche	Haute Truche	[-10,-44]	130
86	pounicheur.png	Miausolée du Pounicheur	Pounicheur	[3,-9]	110
87	3951998_orig.png	Pitons Rocheux des Craqueleurs	Craqueleur Légendaire	[-3,-7]	50
88	ush.png	Plateau de Ush	Ush Galesh	[7,-3]	160
89	chaloeil.png	Défi du Chalœil	Chalœil	[-9,-22]	200
90	koutoulou.png	Temple de Koutoulou	Larve de Koutoulou	[27,26]	200
91	meno.png	Vaisseau du Capitaine Meno	Capitaine Meno	[24,27]	200
92	dantinea.png	Palais de Dantinéa	Dantinéa	[19,26]	200
93	solar.png	Tour de Solar	Solar	[-31,15]	200
94	bethel.png	Tour de Bethel	Bethel	[-48,-82]	200
95	dazak-martegel.png	Brasserie du roi Dazak	Dazak Martegel	[-62,-70]	200
96	malice.png	Malice	Malice	[-62,-70]	200
97	tal-kasha.png	Chambre de Tal Kasha	Tal Kasha	[12,-77]	200
98	mawabouaino.png	Fonderie des Waddicts	Mawabouaino	[-3,-4]	60
99	croqueleur.png	Croquanterie	Croqueleur	[-1,-7]	130
100	pretresse-de-kao.png	Temple du dieu Kao	Prêtresse de Kao	[-1,-10]	200
101	agonie-la-deterree.png	Agonie la Déterrée	Agonie la Déterrée	Anomalies	50-200
102	champion-de-l-aurore-pourpre.png	Champion de l'Aurore Pourpre	Champion de l'Aurore Pourpre	Anomalies	50-200
103	corbeau-noir.png	Corbeau Noir	Corbeau Noir	Anomalies	50-200
104	dathura.png	Dathura	Dathura	Anomalies	50-200
105	julith.png	Julith	Julith	Anomalies	50-200
106	larve-de-rushu.png	Larve de Rushu	Larve de Rushu	Anomalies	50-200
107	leorictus-le-roi-grimacant.png	Léorictus le Roi Grimaçant	Léorictus le Roi Grimaçant	Anomalies	50-200
108	noximilien-l-horloger.png	Noximilien l'Horloger	Noximilien l'Horloger	Anomalies	50-200
109	percimol.png	Percimol	Percimol	Anomalies	50-200
110	shuccube.png	Shuccube	Shuccube	Anomalies	50-200
111	ilyzaelle.png	Belvédère d'Ilyzaelle	Ilyzaelle	[-72,-77]	200
112	pere-ver.png	Boyau du Père Ver	Père Ver	[-7,-70]	170
113	comte-razof.png	Camp du Comte Razof	Comte Razof	[-68,30]	190
114	el-piko.png	Caverne d'El Piko	El Piko	[15,-65]	130
115	choudini.png	Chapiteau des Magik Riktus	Choudini	[-22,12]	90
116	mantiscore.png	Cimetière des Mastodontes	Mantiscore	[19,-61]	80
117	anerice-la-shushess.png	Manoir des Katrepat	Anerice la Shushess	[-14,25]	200
118	draegnerys.png	Épreuve de Draegnerys	Draegnerys	[-4,29]	70
119	kharnozor.png	Repaire du Kharnozor	Kharnozor	[-3,25]	100
120	torkelonia.png	Sanctuaire de Torkélonia	Torkélonia	[-84,-16]	200
121	misere.png	Sentence de la Balance	Misère		200
122	servitude.png	Fers de la Tyrannie	Servitude		200
123	guerre.png	Trône de sang	Guerre		200
124	corruption.png	Arbre de mort	Corruption		200
125	damadrya.png	Bambusaie de Damadrya	Damadrya	[26,-30]	110
126	tanukoui-san.png	Atelier du Tanukouï San	Tanukouï San	[26,-24]	130
127	nagate.png	Vallée de la Dame des eaux	Nagate	[22,-24]	130
128	founoroshi.png	Fabrique de foux d'artifice	Founoroshi	[14,-32]	140
129	hanshi.png	Dojo du Vent	Hanshi et Shihan	[20,-37]	140
